Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,400,1000,1000,39000,2.50,29.00,0.2863,0.3419,0.2900
1,1,None,400,1400,1400,38600,3.50,30.50,0.3066,0.3324,0.3050
1,2,None,400,1800,1800,38200,4.50,35.00,0.3463,0.3737,0.3500
1,3,None,400,2200,2200,37800,5.50,37.50,0.3763,0.3896,0.3750
1,4,None,400,2600,2600,37400,6.50,32.50,0.3244,0.3663,0.3250
1,5,None,400,3000,3000,37000,7.50,42.50,0.4219,0.4403,0.4250
1,6,None,400,3400,3400,36600,8.50,41.00,0.3997,0.4019,0.4100
1,7,None,400,3800,3800,36200,9.50,43.50,0.4403,0.4645,0.4350
1,8,None,400,4200,4200,35800,10.50,43.50,0.4453,0.4837,0.4350
1,9,None,400,4600,4600,35400,11.50,45.00,0.4400,0.4507,0.4500
1,10,None,400,5000,5000,35000,12.50,46.50,0.4703,0.4893,0.4650
2,0,None,400,1000,1000,39000,2.50,31.00,0.2946,0.3232,0.3100
2,1,None,400,1400,1400,38600,3.50,39.00,0.3878,0.4048,0.3900
2,2,None,400,1800,1800,38200,4.50,31.50,0.2891,0.3068,0.3150
2,3,None,400,2200,2200,37800,5.50,44.00,0.4346,0.4470,0.4400
2,4,None,400,2600,2600,37400,6.50,45.50,0.4418,0.4452,0.4550
2,5,None,400,3000,3000,37000,7.50,42.00,0.4156,0.4420,0.4200
2,6,None,400,3400,3400,36600,8.50,49.50,0.4911,0.4935,0.4950
2,7,None,400,3800,3800,36200,9.50,44.00,0.4495,0.5028,0.4400
2,8,None,400,4200,4200,35800,10.50,48.50,0.4820,0.4856,0.4850
2,9,None,400,4600,4600,35400,11.50,47.50,0.4703,0.4790,0.4750
2,10,None,400,5000,5000,35000,12.50,47.50,0.4739,0.5085,0.4750
3,0,None,400,1000,1000,39000,2.50,32.50,0.3191,0.3299,0.3250
3,1,None,400,1400,1400,38600,3.50,43.00,0.4186,0.4512,0.4300
3,2,None,400,1800,1800,38200,4.50,44.00,0.4337,0.4585,0.4400
3,3,None,400,2200,2200,37800,5.50,45.50,0.4472,0.4572,0.4550
3,4,None,400,2600,2600,37400,6.50,49.00,0.4972,0.5253,0.4900
3,5,None,400,3000,3000,37000,7.50,46.50,0.4597,0.4794,0.4650
3,6,None,400,3400,3400,36600,8.50,47.50,0.4690,0.4723,0.4750
3,7,None,400,3800,3800,36200,9.50,52.00,0.5236,0.5515,0.5200
3,8,None,400,4200,4200,35800,10.50,51.50,0.5165,0.5241,0.5150
3,9,None,400,4600,4600,35400,11.50,56.00,0.5644,0.5859,0.5600
3,10,None,400,5000,5000,35000,12.50,52.00,0.5201,0.5294,0.5200
4,0,None,400,1000,1000,39000,2.50,33.50,0.3355,0.3739,0.3350
4,1,None,400,1400,1400,38600,3.50,36.50,0.3395,0.3472,0.3650
4,2,None,400,1800,1800,38200,4.50,43.50,0.4275,0.4654,0.4350
4,3,None,400,2200,2200,37800,5.50,48.00,0.4687,0.4765,0.4800
4,4,None,400,2600,2600,37400,6.50,44.50,0.4435,0.4626,0.4450
4,5,None,400,3000,3000,37000,7.50,53.00,0.5188,0.5314,0.5300
4,6,None,400,3400,3400,36600,8.50,52.00,0.5217,0.5365,0.5200
4,7,None,400,3800,3800,36200,9.50,54.00,0.5437,0.5602,0.5400
4,8,None,400,4200,4200,35800,10.50,57.00,0.5688,0.5790,0.5700
4,9,None,400,4600,4600,35400,11.50,51.50,0.5097,0.5301,0.5150
4,10,None,400,5000,5000,35000,12.50,57.00,0.5686,0.5846,0.5700
5,0,None,400,1000,1000,39000,2.50,38.00,0.3559,0.4570,0.3800
5,1,None,400,1400,1400,38600,3.50,42.50,0.4158,0.4853,0.4250
5,2,None,400,1800,1800,38200,4.50,41.50,0.4056,0.4170,0.4150
5,3,None,400,2200,2200,37800,5.50,43.50,0.4239,0.4328,0.4350
5,4,None,400,2600,2600,37400,6.50,43.50,0.4431,0.4807,0.4350
5,5,None,400,3000,3000,37000,7.50,50.00,0.5072,0.5270,0.5000
5,6,None,400,3400,3400,36600,8.50,46.00,0.4577,0.4707,0.4600
5,7,None,400,3800,3800,36200,9.50,48.00,0.4820,0.5025,0.4800
5,8,None,400,4200,4200,35800,10.50,58.00,0.5831,0.6061,0.5800
5,9,None,400,4600,4600,35400,11.50,52.00,0.5235,0.5508,0.5200
5,10,None,400,5000,5000,35000,12.50,55.50,0.5592,0.5749,0.5550
