Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,500,500,39500,1.25,28.0,0.2896,0.33,0.28
1,1,200,200,700,900,39100,2.25,28.0,0.2827,0.308,0.28
1,2,200,200,900,1300,38700,3.25,36.0,0.3656,0.3953,0.36
1,3,200,200,1100,1700,38300,4.25,34.0,0.3448,0.3563,0.34
1,4,200,200,1300,2100,37900,5.25,34.0,0.3444,0.3705,0.34
1,5,200,200,1500,2500,37500,6.25,31.0,0.3237,0.376,0.31
1,6,200,200,1700,2900,37100,7.25,37.0,0.3908,0.503,0.37
1,7,200,200,1900,3300,36700,8.25,35.0,0.3631,0.3899,0.35
1,8,200,200,2100,3700,36300,9.25,30.0,0.3022,0.3257,0.3
1,9,200,200,2300,4100,35900,10.25,31.0,0.3007,0.3124,0.31
1,10,200,200,2500,4500,35500,11.25,31.0,0.305,0.3089,0.31
2,0,0,0,500,500,39500,1.25,34.0,0.3336,0.3518,0.34
2,1,200,200,700,900,39100,2.25,28.0,0.2469,0.2653,0.28
2,2,200,200,900,1300,38700,3.25,37.0,0.3521,0.3626,0.37
2,3,200,200,1100,1700,38300,4.25,38.0,0.361,0.3932,0.38
2,4,200,200,1300,2100,37900,5.25,35.0,0.3396,0.3693,0.35
2,5,200,200,1500,2500,37500,6.25,37.0,0.3586,0.408,0.37
2,6,200,200,1700,2900,37100,7.25,44.0,0.4299,0.464,0.44
2,7,200,200,1900,3300,36700,8.25,45.0,0.4503,0.4846,0.45
2,8,200,200,2100,3700,36300,9.25,46.0,0.4644,0.5244,0.46
2,9,200,200,2300,4100,35900,10.25,39.0,0.3735,0.3982,0.39
2,10,200,200,2500,4500,35500,11.25,41.0,0.3864,0.378,0.41
3,0,0,0,500,500,39500,1.25,33.0,0.3407,0.3819,0.33
3,1,200,200,700,900,39100,2.25,28.0,0.2676,0.2778,0.28
3,2,200,200,900,1300,38700,3.25,35.0,0.317,0.3596,0.35
3,3,200,200,1100,1700,38300,4.25,28.0,0.2612,0.2802,0.28
3,4,200,200,1300,2100,37900,5.25,38.0,0.3522,0.3647,0.38
3,5,200,200,1500,2500,37500,6.25,37.0,0.3508,0.3824,0.37
3,6,200,200,1700,2900,37100,7.25,38.0,0.3762,0.4119,0.38
3,7,200,200,1900,3300,36700,8.25,35.0,0.3303,0.3551,0.35
3,8,200,200,2100,3700,36300,9.25,42.0,0.4067,0.4248,0.42
3,9,200,200,2300,4100,35900,10.25,37.0,0.3546,0.3725,0.37
3,10,200,200,2500,4500,35500,11.25,37.0,0.3502,0.3624,0.37
4,0,0,0,500,500,39500,1.25,36.0,0.3528,0.3631,0.36
4,1,200,200,700,900,39100,2.25,36.0,0.3302,0.341,0.36
4,2,200,200,900,1300,38700,3.25,34.0,0.3312,0.3827,0.34
4,3,200,200,1100,1700,38300,4.25,39.0,0.3919,0.4327,0.39
4,4,200,200,1300,2100,37900,5.25,39.0,0.3821,0.3912,0.39
4,5,200,200,1500,2500,37500,6.25,39.0,0.3701,0.379,0.39
4,6,200,200,1700,2900,37100,7.25,42.0,0.4107,0.4255,0.42
4,7,200,200,1900,3300,36700,8.25,43.0,0.4156,0.4362,0.43
4,8,200,200,2100,3700,36300,9.25,45.0,0.4354,0.4508,0.45
4,9,200,200,2300,4100,35900,10.25,40.0,0.4,0.4372,0.4
4,10,200,200,2500,4500,35500,11.25,44.0,0.4305,0.4614,0.44
5,0,0,0,500,500,39500,1.25,31.0,0.2908,0.3094,0.31
5,1,200,200,700,900,39100,2.25,35.0,0.333,0.3467,0.35
5,2,200,200,900,1300,38700,3.25,25.0,0.2347,0.2905,0.25
5,3,200,200,1100,1700,38300,4.25,36.0,0.3556,0.3861,0.36
5,4,200,200,1300,2100,37900,5.25,33.0,0.3189,0.3316,0.33
5,5,200,200,1500,2500,37500,6.25,35.0,0.3367,0.3647,0.35
5,6,200,200,1700,2900,37100,7.25,33.0,0.2993,0.3182,0.33
5,7,200,200,1900,3300,36700,8.25,39.0,0.3754,0.392,0.39
5,8,200,200,2100,3700,36300,9.25,28.0,0.2573,0.2607,0.28
5,9,200,200,2300,4100,35900,10.25,43.0,0.4147,0.4382,0.43
5,10,200,200,2500,4500,35500,11.25,35.0,0.3158,0.3421,0.35
