Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,400,1000,1000,39000,2.50,26.50,0.2375,0.2811,0.2650
1,1,None,400,1400,1400,38600,3.50,38.00,0.3687,0.3897,0.3800
1,2,None,400,1800,1800,38200,4.50,42.00,0.4163,0.4417,0.4200
1,3,None,400,2200,2200,37800,5.50,40.50,0.4007,0.4103,0.4050
1,4,None,400,2600,2600,37400,6.50,37.00,0.3684,0.3810,0.3700
1,5,None,400,3000,3000,37000,7.50,41.50,0.4143,0.4215,0.4150
1,6,None,400,3400,3400,36600,8.50,45.00,0.4438,0.4487,0.4500
1,7,None,400,3800,3800,36200,9.50,40.00,0.3891,0.3973,0.4000
1,8,None,400,4200,4200,35800,10.50,45.00,0.4481,0.4590,0.4500
1,9,None,400,4600,4600,35400,11.50,45.00,0.4449,0.4529,0.4500
1,10,None,400,5000,5000,35000,12.50,45.00,0.4392,0.4409,0.4500
2,0,None,400,1000,1000,39000,2.50,30.00,0.2953,0.3926,0.3000
2,1,None,400,1400,1400,38600,3.50,40.50,0.3892,0.4350,0.4050
2,2,None,400,1800,1800,38200,4.50,37.50,0.3623,0.3654,0.3750
2,3,None,400,2200,2200,37800,5.50,43.00,0.4237,0.4445,0.4300
2,4,None,400,2600,2600,37400,6.50,43.50,0.4288,0.4425,0.4350
2,5,None,400,3000,3000,37000,7.50,46.50,0.4536,0.4888,0.4650
2,6,None,400,3400,3400,36600,8.50,53.00,0.5213,0.5310,0.5300
2,7,None,400,3800,3800,36200,9.50,49.50,0.4882,0.5197,0.4950
2,8,None,400,4200,4200,35800,10.50,50.50,0.4999,0.5131,0.5050
2,9,None,400,4600,4600,35400,11.50,50.50,0.5009,0.5285,0.5050
2,10,None,400,5000,5000,35000,12.50,47.50,0.4699,0.5212,0.4750
3,0,None,400,1000,1000,39000,2.50,33.00,0.2797,0.3568,0.3300
3,1,None,400,1400,1400,38600,3.50,41.50,0.4040,0.4168,0.4150
3,2,None,400,1800,1800,38200,4.50,38.00,0.3748,0.4113,0.3800
3,3,None,400,2200,2200,37800,5.50,47.50,0.4781,0.4914,0.4750
3,4,None,400,2600,2600,37400,6.50,44.50,0.4369,0.4453,0.4450
3,5,None,400,3000,3000,37000,7.50,48.00,0.4767,0.4899,0.4800
3,6,None,400,3400,3400,36600,8.50,52.00,0.5158,0.5229,0.5200
3,7,None,400,3800,3800,36200,9.50,48.50,0.4724,0.5043,0.4850
3,8,None,400,4200,4200,35800,10.50,49.00,0.4735,0.4747,0.4900
3,9,None,400,4600,4600,35400,11.50,53.50,0.5327,0.5455,0.5350
3,10,None,400,5000,5000,35000,12.50,52.00,0.5106,0.5328,0.5200
4,0,None,400,1000,1000,39000,2.50,33.50,0.3262,0.4261,0.3350
4,1,None,400,1400,1400,38600,3.50,41.00,0.4017,0.4285,0.4100
4,2,None,400,1800,1800,38200,4.50,43.50,0.4232,0.4402,0.4350
4,3,None,400,2200,2200,37800,5.50,49.50,0.4742,0.5130,0.4950
4,4,None,400,2600,2600,37400,6.50,51.00,0.5022,0.5144,0.5100
4,5,None,400,3000,3000,37000,7.50,50.00,0.4898,0.5041,0.5000
4,6,None,400,3400,3400,36600,8.50,53.50,0.5397,0.5693,0.5350
4,7,None,400,3800,3800,36200,9.50,51.50,0.5169,0.5349,0.5150
4,8,None,400,4200,4200,35800,10.50,53.00,0.5234,0.5385,0.5300
4,9,None,400,4600,4600,35400,11.50,53.50,0.5284,0.5501,0.5350
4,10,None,400,5000,5000,35000,12.50,51.50,0.5106,0.5241,0.5150
5,0,None,400,1000,1000,39000,2.50,25.50,0.2526,0.3083,0.2550
5,1,None,400,1400,1400,38600,3.50,42.50,0.4139,0.4563,0.4250
5,2,None,400,1800,1800,38200,4.50,36.50,0.3470,0.3568,0.3650
5,3,None,400,2200,2200,37800,5.50,37.00,0.3694,0.4025,0.3700
5,4,None,400,2600,2600,37400,6.50,44.00,0.4252,0.4284,0.4400
5,5,None,400,3000,3000,37000,7.50,47.00,0.4513,0.4537,0.4700
5,6,None,400,3400,3400,36600,8.50,46.00,0.4598,0.4993,0.4600
5,7,None,400,3800,3800,36200,9.50,47.50,0.4700,0.4873,0.4750
5,8,None,400,4200,4200,35800,10.50,46.50,0.4697,0.5008,0.4650
5,9,None,400,4600,4600,35400,11.50,51.50,0.5195,0.5442,0.5150
5,10,None,400,5000,5000,35000,12.50,52.50,0.5267,0.5587,0.5250
