Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,2000,2000,38000,5.00,38.25,0.3721,0.3786,0.3825
1,1,4194,0,2000,6194,33806,15.48,43.25,0.4182,0.4261,0.4325
1,2,11721,0,2000,17915,22085,44.79,41.75,0.4011,0.4162,0.4175
1,3,11721,0,2000,27372,12628,68.43,41.50,0.4023,0.4074,0.4150
1,4,11721,0,2000,32995,7005,82.49,43.75,0.4249,0.4426,0.4375
1,5,2952,0,2000,35947,4053,89.87,43.00,0.4128,0.4251,0.4300
1,6,2952,0,2000,37722,2278,94.31,44.25,0.4268,0.4324,0.4425
1,7,832,0,2000,38554,1446,96.39,42.25,0.4049,0.4133,0.4225
1,8,832,0,2000,39239,761,98.10,42.25,0.4027,0.4175,0.4225
1,9,832,0,2000,39563,437,98.91,40.25,0.3855,0.3973,0.4025
1,10,832,0,2000,39731,269,99.33,41.75,0.4020,0.4135,0.4175
2,0,0,0,2000,2000,38000,5.00,38.25,0.3764,0.3986,0.3825
2,1,5533,0,2000,7533,32467,18.83,42.50,0.4202,0.4269,0.4250
2,2,11109,0,2000,18642,21358,46.60,42.50,0.4184,0.4362,0.4250
2,3,11109,0,2000,27791,12209,69.48,44.75,0.4461,0.4630,0.4475
2,4,5328,0,2000,33119,6881,82.80,45.75,0.4504,0.4660,0.4575
2,5,3337,0,2000,36456,3544,91.14,46.75,0.4640,0.4706,0.4675
2,6,1510,0,2000,37966,2034,94.92,45.25,0.4477,0.4545,0.4525
2,7,1510,0,2000,38795,1205,96.99,46.00,0.4535,0.4686,0.4600
2,8,454,0,2000,39249,751,98.12,47.50,0.4703,0.4793,0.4750
2,9,287,0,2000,39536,464,98.84,46.25,0.4538,0.4764,0.4625
2,10,287,0,2000,39685,315,99.21,45.00,0.4417,0.4593,0.4500
3,0,0,0,2000,2000,38000,5.00,38.00,0.3856,0.4365,0.3800
3,1,2596,0,2000,4596,35404,11.49,44.75,0.4445,0.4663,0.4475
3,2,11684,0,2000,16280,23720,40.70,43.75,0.4285,0.4384,0.4375
3,3,11684,0,2000,26341,13659,65.85,46.00,0.4521,0.4751,0.4600
3,4,5149,0,2000,31490,8510,78.72,44.75,0.4362,0.4552,0.4475
3,5,5149,0,2000,35422,4578,88.56,45.50,0.4466,0.4632,0.4550
3,6,1842,0,2000,37264,2736,93.16,45.50,0.4464,0.4796,0.4550
3,7,1842,0,2000,38433,1567,96.08,44.75,0.4396,0.4582,0.4475
3,8,1842,0,2000,39110,890,97.78,44.75,0.4339,0.4497,0.4475
3,9,1842,0,2000,39481,519,98.70,45.50,0.4367,0.4515,0.4550
3,10,224,0,2000,39705,295,99.26,44.00,0.4330,0.4455,0.4400
4,0,0,0,2000,2000,38000,5.00,39.50,0.4046,0.4712,0.3950
4,1,3251,0,2000,5251,34749,13.13,43.50,0.4253,0.4324,0.4350
4,2,13028,0,2000,18279,21721,45.70,44.75,0.4390,0.4501,0.4475
4,3,9425,0,2000,27704,12296,69.26,45.50,0.4463,0.4656,0.4550
4,4,5327,0,2000,33031,6969,82.58,44.00,0.4299,0.4511,0.4400
4,5,5327,0,2000,36074,3926,90.19,43.75,0.4298,0.4475,0.4375
4,6,5327,0,2000,37846,2154,94.61,45.25,0.4452,0.4676,0.4525
4,7,957,0,2000,38803,1197,97.01,44.75,0.4323,0.4498,0.4475
4,8,957,0,2000,39295,705,98.24,47.00,0.4614,0.4882,0.4700
4,9,290,0,2000,39585,415,98.96,47.00,0.4608,0.4863,0.4700
4,10,290,0,2000,39749,251,99.37,45.50,0.4444,0.4670,0.4550
5,0,0,0,2000,2000,38000,5.00,38.00,0.3725,0.3796,0.3800
5,1,1728,0,2000,3728,36272,9.32,40.25,0.3980,0.4117,0.4025
5,2,12395,0,2000,16123,23877,40.31,38.75,0.3785,0.4074,0.3875
5,3,12395,0,2000,26562,13438,66.41,41.00,0.3949,0.4269,0.4100
5,4,5177,0,2000,31739,8261,79.35,38.00,0.3661,0.3844,0.3800
5,5,5177,0,2000,35051,4949,87.63,39.25,0.3799,0.3998,0.3925
5,6,2344,0,2000,37395,2605,93.49,36.75,0.3541,0.3776,0.3675
5,7,2344,0,2000,38615,1385,96.54,37.50,0.3631,0.3808,0.3750
5,8,570,0,2000,39185,815,97.96,36.75,0.3547,0.3717,0.3675
5,9,570,0,2000,39495,505,98.74,37.75,0.3632,0.3792,0.3775
5,10,193,0,2000,39688,312,99.22,37.25,0.3596,0.3803,0.3725
