Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,1000,1000,39000,2.50,26.50,0.2543,0.2969,0.2650
1,1,400,0,1000,1400,38600,3.50,36.50,0.3546,0.3840,0.3650
1,2,400,0,1000,1800,38200,4.50,31.50,0.2985,0.3226,0.3150
1,3,0,400,1400,2200,37800,5.50,32.50,0.3107,0.3182,0.3250
1,4,400,0,1400,2600,37400,6.50,33.50,0.3409,0.3875,0.3350
1,5,400,0,1400,3000,37000,7.50,38.00,0.3720,0.3876,0.3800
1,6,400,0,1400,3400,36600,8.50,34.00,0.3394,0.3726,0.3400
1,7,0,400,1800,3800,36200,9.50,34.50,0.3422,0.3607,0.3450
1,8,400,0,1800,4200,35800,10.50,39.50,0.3975,0.4283,0.3950
1,9,400,0,1800,4600,35400,11.50,38.50,0.3911,0.4184,0.3850
1,10,0,400,2200,5000,35000,12.50,38.00,0.3909,0.4285,0.3800
1,11,0,0,2200,5400,34600,13.50,41.00,0.4095,0.4260,0.4100
1,12,400,0,2200,5800,34200,14.50,34.50,0.3471,0.3729,0.3450
1,13,0,400,2600,6200,33800,15.50,41.00,0.4108,0.4294,0.4100
1,14,400,0,2600,6600,33400,16.50,39.50,0.4027,0.4305,0.3950
1,15,0,400,3000,7000,33000,17.50,41.00,0.4149,0.4571,0.4100
1,16,400,0,3000,7400,32600,18.50,40.50,0.4090,0.4324,0.4050
1,17,0,400,3400,7800,32200,19.50,39.00,0.3902,0.4028,0.3900
1,18,0,0,3400,8200,31800,20.50,41.00,0.4084,0.4335,0.4100
1,19,400,0,3400,8600,31400,21.50,35.50,0.3618,0.4128,0.3550
1,20,0,400,3800,9000,31000,22.50,42.00,0.4182,0.4490,0.4200
1,21,400,0,3800,9400,30600,23.50,40.00,0.4051,0.4344,0.4000
1,22,0,400,4200,9800,30200,24.50,40.00,0.4023,0.4284,0.4000
1,23,0,0,4200,10200,29800,25.50,40.50,0.4135,0.4534,0.4050
1,24,400,0,4200,10600,29400,26.50,43.50,0.4399,0.4708,0.4350
1,25,400,0,4200,11000,29000,27.50,42.00,0.4247,0.4522,0.4200
1,26,0,400,4600,11400,28600,28.50,41.50,0.4163,0.4370,0.4150
1,27,0,0,4600,11800,28200,29.50,40.50,0.4102,0.4510,0.4050
1,28,0,0,4600,12200,27800,30.50,37.00,0.3761,0.4060,0.3700
1,29,0,0,4600,12600,27400,31.50,39.00,0.3912,0.4105,0.3900
1,30,400,0,4600,13000,27000,32.50,40.00,0.4073,0.4398,0.4000
1,31,400,0,4600,13400,26600,33.50,38.00,0.3821,0.4132,0.3800
1,32,0,400,5000,13800,26200,34.50,41.50,0.4222,0.4417,0.4150
2,0,0,0,1000,1000,39000,2.50,34.00,0.3291,0.4599,0.3400
2,1,400,0,1000,1400,38600,3.50,35.00,0.3481,0.3781,0.3500
2,2,400,0,1000,1800,38200,4.50,37.00,0.3623,0.3844,0.3700
2,3,400,0,1000,2200,37800,5.50,36.00,0.3463,0.3560,0.3600
2,4,0,400,1400,2600,37400,6.50,39.00,0.3658,0.4246,0.3900
2,5,400,0,1400,3000,37000,7.50,39.00,0.3758,0.3928,0.3900
2,6,0,400,1800,3400,36600,8.50,43.50,0.4273,0.4364,0.4350
2,7,400,0,1800,3800,36200,9.50,43.50,0.4197,0.4409,0.4350
2,8,0,400,2200,4200,35800,10.50,42.50,0.4156,0.4386,0.4250
2,9,0,0,2200,4600,35400,11.50,42.00,0.4030,0.4256,0.4200
2,10,0,0,2200,5000,35000,12.50,44.00,0.4287,0.4480,0.4400
2,11,400,0,2200,5400,34600,13.50,41.50,0.4053,0.4344,0.4150
2,12,0,400,2600,5800,34200,14.50,40.00,0.3977,0.3997,0.4000
2,13,0,0,2600,6200,33800,15.50,40.50,0.3960,0.4015,0.4050
2,14,400,0,2600,6600,33400,16.50,42.50,0.4228,0.4271,0.4250
2,15,400,0,2600,7000,33000,17.50,40.00,0.3952,0.4059,0.4000
2,16,0,400,3000,7400,32600,18.50,40.50,0.3967,0.3994,0.4050
2,17,400,0,3000,7800,32200,19.50,40.00,0.3978,0.4091,0.4000
2,18,0,400,3400,8200,31800,20.50,44.00,0.4247,0.4288,0.4400
2,19,400,0,3400,8600,31400,21.50,41.50,0.3981,0.3968,0.4150
2,20,0,400,3800,9000,31000,22.50,39.50,0.3798,0.3923,0.3950
2,21,0,0,3800,9400,30600,23.50,39.00,0.3715,0.3709,0.3900
2,22,0,0,3800,9800,30200,24.50,44.00,0.4355,0.4472,0.4400
2,23,400,0,3800,10200,29800,25.50,42.00,0.4133,0.4145,0.4200
2,24,0,400,4200,10600,29400,26.50,46.00,0.4518,0.4714,0.4600
2,25,400,0,4200,11000,29000,27.50,43.00,0.4190,0.4208,0.4300
2,26,0,400,4600,11400,28600,28.50,45.00,0.4424,0.4486,0.4500
2,27,400,0,4600,11800,28200,29.50,44.00,0.4298,0.4318,0.4400
2,28,0,400,5000,12200,27800,30.50,45.00,0.4450,0.4490,0.4500
3,0,0,0,1000,1000,39000,2.50,34.50,0.3422,0.4759,0.3450
3,1,400,0,1000,1400,38600,3.50,35.00,0.3377,0.3562,0.3500
3,2,400,0,1000,1800,38200,4.50,36.00,0.3575,0.3714,0.3600
3,3,400,0,1000,2200,37800,5.50,37.00,0.3633,0.3940,0.3700
3,4,400,0,1000,2600,37400,6.50,34.00,0.3388,0.3589,0.3400
3,5,0,400,1400,3000,37000,7.50,41.50,0.4136,0.4303,0.4150
3,6,400,0,1400,3400,36600,8.50,41.00,0.4060,0.4192,0.4100
3,7,0,400,1800,3800,36200,9.50,39.50,0.3836,0.3820,0.3950
3,8,0,0,1800,4200,35800,10.50,40.00,0.3870,0.3979,0.4000
3,9,400,0,1800,4600,35400,11.50,39.00,0.3869,0.3991,0.3900
3,10,0,400,2200,5000,35000,12.50,45.00,0.4465,0.4490,0.4500
3,11,400,0,2200,5400,34600,13.50,42.50,0.4265,0.4651,0.4250
3,12,0,400,2600,5800,34200,14.50,42.50,0.4276,0.4407,0.4250
3,13,0,0,2600,6200,33800,15.50,44.00,0.4312,0.4685,0.4400
3,14,400,0,2600,6600,33400,16.50,42.50,0.4227,0.4598,0.4250
3,15,0,400,3000,7000,33000,17.50,48.00,0.4685,0.4840,0.4800
3,16,400,0,3000,7400,32600,18.50,41.50,0.4125,0.4264,0.4150
3,17,0,400,3400,7800,32200,19.50,43.50,0.4288,0.4411,0.4350
3,18,400,0,3400,8200,31800,20.50,46.00,0.4554,0.4603,0.4600
3,19,400,0,3400,8600,31400,21.50,45.00,0.4460,0.4633,0.4500
3,20,0,400,3800,9000,31000,22.50,43.50,0.4320,0.4716,0.4350
3,21,0,0,3800,9400,30600,23.50,46.50,0.4601,0.4820,0.4650
3,22,400,0,3800,9800,30200,24.50,46.50,0.4611,0.4909,0.4650
3,23,0,400,4200,10200,29800,25.50,43.50,0.4321,0.4392,0.4350
3,24,0,0,4200,10600,29400,26.50,44.50,0.4431,0.4567,0.4450
3,25,400,0,4200,11000,29000,27.50,46.00,0.4582,0.4642,0.4600
3,26,400,0,4200,11400,28600,28.50,44.00,0.4363,0.4460,0.4400
3,27,0,400,4600,11800,28200,29.50,43.50,0.4274,0.4343,0.4350
3,28,0,0,4600,12200,27800,30.50,47.00,0.4539,0.4746,0.4700
3,29,400,0,4600,12600,27400,31.50,47.00,0.4583,0.4637,0.4700
3,30,0,400,5000,13000,27000,32.50,44.00,0.4313,0.4352,0.4400
4,0,0,0,1000,1000,39000,2.50,36.00,0.3485,0.4086,0.3600
4,1,400,0,1000,1400,38600,3.50,37.00,0.3758,0.3983,0.3700
4,2,400,0,1000,1800,38200,4.50,37.50,0.3749,0.3968,0.3750
4,3,400,0,1000,2200,37800,5.50,40.00,0.3910,0.4210,0.4000
4,4,400,0,1000,2600,37400,6.50,39.50,0.3830,0.3990,0.3950
4,5,0,400,1400,3000,37000,7.50,44.00,0.4285,0.4342,0.4400
4,6,400,0,1400,3400,36600,8.50,45.00,0.4270,0.4191,0.4500
4,7,400,0,1400,3800,36200,9.50,40.50,0.3960,0.3946,0.4050
4,8,0,400,1800,4200,35800,10.50,44.00,0.4257,0.4306,0.4400
4,9,400,0,1800,4600,35400,11.50,42.50,0.4203,0.4348,0.4250
4,10,0,400,2200,5000,35000,12.50,45.50,0.4404,0.4528,0.4550
4,11,400,0,2200,5400,34600,13.50,39.00,0.3774,0.4034,0.3900
4,12,0,400,2600,5800,34200,14.50,45.50,0.4489,0.4657,0.4550
4,13,400,0,2600,6200,33800,15.50,45.00,0.4431,0.4820,0.4500
4,14,0,400,3000,6600,33400,16.50,45.00,0.4466,0.4773,0.4500
4,15,0,0,3000,7000,33000,17.50,43.00,0.4204,0.4412,0.4300
4,16,0,0,3000,7400,32600,18.50,44.00,0.4268,0.4691,0.4400
4,17,400,0,3000,7800,32200,19.50,43.00,0.4290,0.4375,0.4300
4,18,0,400,3400,8200,31800,20.50,48.00,0.4604,0.4659,0.4800
4,19,400,0,3400,8600,31400,21.50,45.00,0.4378,0.4549,0.4500
4,20,0,400,3800,9000,31000,22.50,41.50,0.4091,0.4239,0.4150
4,21,0,0,3800,9400,30600,23.50,45.00,0.4496,0.4635,0.4500
4,22,400,0,3800,9800,30200,24.50,41.50,0.4101,0.4333,0.4150
