Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,None,500,500,39500,1.25,25.00,0.2264,0.2932,0.2500
1,1,None,None,700,900,39100,2.25,17.00,0.1486,0.1556,0.1700
1,2,None,None,700,900,39100,2.25,29.00,0.2777,0.2817,0.2900
1,3,None,None,900,1300,38700,3.25,27.00,0.2514,0.2599,0.2700
1,4,None,None,900,1300,38700,3.25,30.00,0.3057,0.3356,0.3000
1,5,None,None,1100,1700,38300,4.25,37.00,0.3670,0.4176,0.3700
1,6,None,None,1300,2100,37900,5.25,33.00,0.3251,0.3416,0.3300
1,7,None,None,1300,2100,37900,5.25,33.00,0.3182,0.3695,0.3300
1,8,None,None,1500,2500,37500,6.25,41.00,0.4088,0.4498,0.4100
1,9,None,None,1700,2900,37100,7.25,41.00,0.3952,0.3950,0.4100
1,10,None,None,1900,3300,36700,8.25,42.00,0.4171,0.4448,0.4200
1,11,None,None,2100,3700,36300,9.25,42.00,0.4089,0.4910,0.4200
1,12,None,None,2300,4100,35900,10.25,36.00,0.3507,0.3582,0.3600
1,13,None,None,2300,4100,35900,10.25,42.00,0.4077,0.4444,0.4200
1,14,None,None,2500,4500,35500,11.25,51.00,0.5053,0.5344,0.5100
2,0,None,None,500,500,39500,1.25,32.00,0.3194,0.4564,0.3200
2,1,None,None,700,900,39100,2.25,32.00,0.3065,0.3583,0.3200
2,2,None,None,900,1300,38700,3.25,32.00,0.3164,0.3736,0.3200
2,3,None,None,1100,1700,38300,4.25,37.00,0.3525,0.3852,0.3700
2,4,None,None,1300,2100,37900,5.25,39.00,0.3460,0.3722,0.3900
2,5,None,None,1500,2500,37500,6.25,41.00,0.3848,0.4053,0.4100
2,6,None,None,1700,2900,37100,7.25,39.00,0.3708,0.4314,0.3900
2,7,None,None,1700,2900,37100,7.25,44.00,0.4153,0.4275,0.4400
2,8,None,None,1900,3300,36700,8.25,40.00,0.3745,0.4008,0.4000
2,9,None,None,1900,3300,36700,8.25,43.00,0.4036,0.4754,0.4300
2,10,None,None,2100,3700,36300,9.25,37.00,0.3550,0.4007,0.3700
2,11,None,None,2100,3700,36300,9.25,40.00,0.3826,0.3797,0.4000
2,12,None,None,2300,4100,35900,10.25,39.00,0.3816,0.4174,0.3900
2,13,None,None,2300,4100,35900,10.25,34.00,0.3347,0.3993,0.3400
2,14,None,None,2500,4500,35500,11.25,48.00,0.4528,0.4805,0.4800
3,0,None,None,500,500,39500,1.25,30.00,0.2651,0.3115,0.3000
3,1,None,None,700,900,39100,2.25,36.00,0.3478,0.4807,0.3600
3,2,None,None,900,1300,38700,3.25,35.00,0.3270,0.4622,0.3500
3,3,None,None,900,1300,38700,3.25,40.00,0.3819,0.4557,0.4000
3,4,None,None,1100,1700,38300,4.25,33.00,0.3119,0.3718,0.3300
3,5,None,None,1100,1700,38300,4.25,30.00,0.2821,0.3251,0.3000
3,6,None,None,1300,2100,37900,5.25,39.00,0.3714,0.3936,0.3900
3,7,None,None,1500,2500,37500,6.25,38.00,0.3772,0.4212,0.3800
3,8,None,None,1500,2500,37500,6.25,34.00,0.3338,0.4087,0.3400
3,9,None,None,1700,2900,37100,7.25,37.00,0.3578,0.4426,0.3700
3,10,None,None,1900,3300,36700,8.25,43.00,0.4061,0.4286,0.4300
3,11,None,None,2100,3700,36300,9.25,45.00,0.4576,0.4959,0.4500
3,12,None,None,2300,4100,35900,10.25,49.00,0.4854,0.5482,0.4900
3,13,None,None,2500,4500,35500,11.25,42.00,0.4139,0.4609,0.4200
4,0,None,None,500,500,39500,1.25,26.00,0.2538,0.3119,0.2600
4,1,None,None,700,900,39100,2.25,37.00,0.3460,0.3915,0.3700
4,2,None,None,900,1300,38700,3.25,39.00,0.3866,0.4546,0.3900
4,3,None,None,1100,1700,38300,4.25,44.00,0.4365,0.5085,0.4400
4,4,None,None,1300,2100,37900,5.25,42.00,0.3958,0.4351,0.4200
4,5,None,None,1300,2100,37900,5.25,42.00,0.4243,0.4533,0.4200
4,6,None,None,1500,2500,37500,6.25,39.00,0.3644,0.4207,0.3900
4,7,None,None,1500,2500,37500,6.25,43.00,0.4251,0.4436,0.4300
4,8,None,None,1700,2900,37100,7.25,39.00,0.3890,0.4143,0.3900
4,9,None,None,1700,2900,37100,7.25,39.00,0.3950,0.4490,0.3900
4,10,None,None,1900,3300,36700,8.25,42.00,0.4089,0.4209,0.4200
4,11,None,None,2100,3700,36300,9.25,44.00,0.4261,0.4363,0.4400
4,12,None,None,2300,4100,35900,10.25,46.00,0.4661,0.4930,0.4600
4,13,None,None,2500,4500,35500,11.25,44.00,0.4423,0.5084,0.4400
5,0,None,None,500,500,39500,1.25,29.00,0.2403,0.3171,0.2900
5,1,None,None,700,900,39100,2.25,31.00,0.2844,0.3155,0.3100
5,2,None,None,900,1300,38700,3.25,32.00,0.2766,0.2886,0.3200
5,3,None,None,1100,1700,38300,4.25,43.00,0.3919,0.3872,0.4300
5,4,None,None,1300,2100,37900,5.25,47.00,0.4589,0.4917,0.4700
5,5,None,None,1500,2500,37500,6.25,48.00,0.4759,0.4912,0.4800
5,6,None,None,1700,2900,37100,7.25,51.00,0.5098,0.5552,0.5100
5,7,None,None,1900,3300,36700,8.25,50.00,0.4782,0.5633,0.5000
5,8,None,None,1900,3300,36700,8.25,47.00,0.4461,0.4767,0.4700
5,9,None,None,2100,3700,36300,9.25,50.00,0.4867,0.5137,0.5000
5,10,None,None,2300,4100,35900,10.25,50.00,0.4875,0.5336,0.5000
5,11,None,None,2500,4500,35500,11.25,47.00,0.4673,0.4911,0.4700
