Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,1000,1000,39000,2.50,32.00,0.3038,0.3532,0.3200
1,1,400,400,1400,1800,38200,4.50,31.50,0.2879,0.3021,0.3150
1,2,400,400,1800,2600,37400,6.50,42.00,0.3986,0.4009,0.4200
1,3,400,400,2200,3400,36600,8.50,43.50,0.4154,0.4292,0.4350
1,4,400,400,2600,4200,35800,10.50,40.00,0.3870,0.3871,0.4000
1,5,400,400,3000,5000,35000,12.50,42.00,0.3983,0.3999,0.4200
1,6,400,400,3400,5800,34200,14.50,44.00,0.4163,0.4194,0.4400
1,7,400,400,3800,6600,33400,16.50,39.50,0.3808,0.3871,0.3950
1,8,400,400,4200,7400,32600,18.50,44.50,0.4340,0.4377,0.4450
1,9,400,400,4600,8200,31800,20.50,48.00,0.4721,0.4756,0.4800
1,10,400,400,5000,9000,31000,22.50,47.00,0.4516,0.4756,0.4700
2,0,0,0,1000,1000,39000,2.50,29.50,0.2784,0.3168,0.2950
2,1,400,400,1400,1800,38200,4.50,35.50,0.3517,0.3678,0.3550
2,2,400,400,1800,2600,37400,6.50,37.00,0.3672,0.3934,0.3700
2,3,400,400,2200,3400,36600,8.50,37.50,0.3614,0.4013,0.3750
2,4,400,400,2600,4200,35800,10.50,41.50,0.4062,0.4322,0.4150
2,5,400,400,3000,5000,35000,12.50,45.50,0.4493,0.4700,0.4550
2,6,400,400,3400,5800,34200,14.50,42.00,0.4164,0.4235,0.4200
2,7,400,400,3800,6600,33400,16.50,40.50,0.4011,0.4041,0.4050
2,8,400,400,4200,7400,32600,18.50,45.00,0.4465,0.4683,0.4500
2,9,400,400,4600,8200,31800,20.50,48.50,0.4817,0.5028,0.4850
2,10,400,400,5000,9000,31000,22.50,48.00,0.4771,0.4800,0.4800
3,0,0,0,1000,1000,39000,2.50,32.50,0.3233,0.3708,0.3250
3,1,400,400,1400,1800,38200,4.50,36.00,0.3313,0.4305,0.3600
3,2,400,400,1800,2600,37400,6.50,41.00,0.4048,0.4226,0.4100
3,3,400,400,2200,3400,36600,8.50,41.50,0.4059,0.4040,0.4150
3,4,400,400,2600,4200,35800,10.50,45.50,0.4532,0.4563,0.4550
3,5,400,400,3000,5000,35000,12.50,44.00,0.4393,0.4590,0.4400
3,6,400,400,3400,5800,34200,14.50,43.00,0.4262,0.4323,0.4300
3,7,400,400,3800,6600,33400,16.50,43.00,0.4254,0.4289,0.4300
3,8,400,400,4200,7400,32600,18.50,47.00,0.4652,0.4718,0.4700
3,9,400,400,4600,8200,31800,20.50,48.00,0.4718,0.4930,0.4800
3,10,400,400,5000,9000,31000,22.50,45.00,0.4508,0.4654,0.4500
4,0,0,0,1000,1000,39000,2.50,36.00,0.3567,0.3882,0.3600
4,1,400,400,1400,1800,38200,4.50,40.00,0.3921,0.4043,0.4000
4,2,400,400,1800,2600,37400,6.50,46.50,0.4529,0.4578,0.4650
4,3,400,400,2200,3400,36600,8.50,42.50,0.4180,0.4353,0.4250
4,4,400,400,2600,4200,35800,10.50,45.50,0.4450,0.4436,0.4550
4,5,400,400,3000,5000,35000,12.50,46.50,0.4564,0.4595,0.4650
4,6,400,400,3400,5800,34200,14.50,46.50,0.4578,0.4634,0.4650
4,7,400,400,3800,6600,33400,16.50,47.50,0.4586,0.4559,0.4750
4,8,400,400,4200,7400,32600,18.50,48.50,0.4755,0.4873,0.4850
4,9,400,400,4600,8200,31800,20.50,48.50,0.4766,0.4810,0.4850
4,10,400,400,5000,9000,31000,22.50,50.00,0.4899,0.4955,0.5000
5,0,0,0,1000,1000,39000,2.50,30.50,0.2946,0.3331,0.3050
5,1,400,400,1400,1800,38200,4.50,43.50,0.4215,0.4239,0.4350
5,2,400,400,1800,2600,37400,6.50,44.50,0.4373,0.4380,0.4450
5,3,400,400,2200,3400,36600,8.50,44.50,0.4365,0.4355,0.4450
5,4,400,400,2600,4200,35800,10.50,44.00,0.4478,0.4769,0.4400
5,5,400,400,3000,5000,35000,12.50,43.00,0.4275,0.4397,0.4300
5,6,400,400,3400,5800,34200,14.50,46.50,0.4589,0.4674,0.4650
5,7,400,400,3800,6600,33400,16.50,46.00,0.4536,0.4561,0.4600
5,8,400,400,4200,7400,32600,18.50,49.00,0.4804,0.4809,0.4900
5,9,400,400,4600,8200,31800,20.50,51.00,0.4940,0.4896,0.5100
5,10,400,400,5000,9000,31000,22.50,50.00,0.5027,0.5181,0.5000
